previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score
8,4,0,1,0,79,73,46,41,54
0,0,0,1,0,35,59,29,23,43
64,22,43,2,1,82,58,81,92,84
33,15,9,1,1,58,48,53,50,63
0,0,0,0,0,26,51,25,22,34
43,21,33,5,1,82,48,69,61,66
52,18,10,2,1,75,63,52,53,71
2,0,2,1,0,86,49,49,42,98
23,9,8,0,0,68,65,25,55,59
28,14,18,1,1,39,61,57,53,60
30,30,11,2,1,72,55,57,42,61
33,22,29,4,1,65,60,82,92,62
87,43,35,1,0,65,72,56,59,70
44,44,44,0,0,96,69,56,78,91
0,0,0,1,0,45,63,48,44,49
29,15,6,0,0,68,76,53,58,44
32,28,8,0,0,59,76,60,70,67
84,58,41,1,1,72,95,68,71,87
0,0,0,1,0,70,76,62,80,59
0,0,0,2,1,39,48,63,75,53
7,0,7,1,1,51,64,55,53,57
62,37,6,1,0,67,67,77,88,64
3,0,0,2,0,45,62,68,52,56
0,0,0,0,0,78,69,84,69,50
57,50,44,3,1,99,73,88,75,63
31,1,19,1,1,49,59,41,24,42
58,50,33,1,1,70,87,55,69,68
17,10,0,0,0,78,62,44,44,46
40,36,30,1,1,71,64,90,79,54
31,11,14,3,1,76,57,52,70,69
0,0,0,0,0,28,61,27,30,33
23,0,7,3,0,62,55,72,64,60
16,16,3,2,1,56,54,57,65,48
50,23,10,2,1,42,78,37,54,63
33,24,19,1,1,90,83,83,82,66
27,27,9,0,0,72,39,66,66,58
31,10,0,1,1,52,66,52,31,61
65,38,53,1,0,61,76,61,92,84
67,32,45,0,0,70,60,66,73,91
58,42,31,1,1,77,79,74,62,77
61,43,50,2,1,71,76,87,72,66
25,25,13,2,1,74,58,61,88,63
25,1,1,2,1,63,64,90,48,59
75,41,52,1,0,83,85,96,100,83
0,0,0,1,1,25,49,20,50,56
33,0,22,1,1,56,64,71,45,38
13,1,1,2,1,49,42,57,73,59
0,0,0,1,0,35,45,30,27,49
41,27,29,2,1,61,87,63,91,77
32,29,26,2,1,77,97,58,70,62
48,33,12,2,0,62,74,81,71,72
13,1,0,1,1,54,68,69,54,52
54,29,14,2,0,48,51,74,43,39
5,0,0,3,1,47,64,55,32,36
73,38,27,1,1,82,74,47,53,63
57,25,23,0,0,68,56,73,76,74
18,18,18,0,0,57,65,48,51,58
18,0,8,0,0,37,65,60,44,55
35,0,0,2,1,57,70,68,66,51
24,0,5,4,0,64,60,58,77,80
39,23,5,2,1,69,54,65,62,62
41,16,27,5,1,60,87,65,66,60
74,36,28,2,1,69,66,52,67,66
16,0,0,1,1,55,43,56,58,56
86,63,42,1,0,67,48,100,73,76
30,4,29,3,1,58,49,62,21,53
5,5,1,1,1,43,44,57,42,52
39,20,20,0,0,62,57,72,69,59
26,20,10,2,1,63,36,44,47,54
24,21,21,1,1,87,66,92,76,60
29,0,14,2,0,42,68,66,61,53
14,6,6,0,0,58,100,80,42,65
68,44,43,0,0,81,55,75,87,84
0,0,0,1,1,42,46,47,44,42
0,0,0,1,0,40,55,45,27,37
21,21,0,0,0,75,50,53,34,48
56,20,22,1,1,77,73,79,66,66
36,36,13,3,1,71,68,56,74,65
35,0,30,2,0,70,69,57,54,77
0,0,0,0,0,54,59,59,57,66
60,28,33,3,1,100,73,82,64,88
30,21,30,2,1,94,80,63,61,63
31,20,16,2,0,67,81,57,73,70
4,4,0,2,1,61,72,45,53,46
0,0,0,0,0,26,45,45,41,48
0,0,0,1,1,53,48,55,53,59
35,26,16,2,1,61,48,87,71,81
13,5,0,0,0,56,46,71,52,39
1,0,0,2,1,37,47,42,22,39
0,0,0,0,0,37,30,44,59,33
64,64,64,2,1,69,57,66,80,75
8,0,8,0,0,50,48,57,41,56
12,0,12,2,1,44,83,51,57,36
3,0,0,1,1,25,46,53,55,47
19,19,3,2,0,61,61,57,51,50
0,0,0,1,1,57,70,56,45,49
0,0,0,3,1,18,47,47,28,59
2,2,0,0,0,49,49,64,53,66
9,0,9,1,1,64,42,47,63,50
62,23,62,1,1,85,82,89,68,65
29,2,17,0,0,61,66,79,49,58
44,31,6,2,1,62,69,88,48,67
8,0,0,0,0,62,76,63,48,73
17,17,5,2,1,52,55,75,77,66
43,8,14,2,1,68,59,76,73,76
0,0,0,1,0,48,37,25,48,39
33,0,0,1,0,25,61,63,36,45
50,27,13,1,0,56,80,74,70,62
27,0,14,2,1,59,76,64,89,39
29,6,13,2,1,56,60,58,60,71
0,0,0,1,1,27,46,61,43,38
14,14,3,0,0,55,66,37,41,49
17,6,0,1,1,63,54,58,57,69
22,11,5,2,1,60,79,68,57,43
53,3,0,4,1,46,48,61,67,66
20,1,19,0,0,65,54,81,69,62
43,25,0,3,1,48,80,64,74,70
65,21,1,2,1,54,44,32,59,47
0,0,0,1,1,44,58,43,52,24
0,0,0,1,1,34,45,38,45,60
64,39,26,3,1,80,70,73,80,76
85,85,25,1,1,72,73,57,86,87
37,5,0,2,1,64,66,42,45,65
89,59,40,1,0,80,98,88,88,72
28,11,28,3,1,66,65,49,64,53
19,10,2,0,0,47,90,81,56,64
90,36,32,3,1,69,69,56,75,73
72,29,49,2,0,84,87,74,93,78
62,32,44,0,0,55,66,61,67,43
17,4,0,0,0,55,56,47,52,65
30,30,21,0,0,74,83,57,92,78
54,44,30,0,0,79,82,48,67,71
0,0,0,0,0,43,66,73,35,26
68,20,45,2,0,62,51,65,79,63
34,19,8,1,1,50,85,50,42,38
63,30,43,2,0,50,69,86,50,49
47,47,32,1,1,76,64,62,68,93
94,52,12,2,1,56,71,59,55,77
45,30,12,1,0,46,49,52,45,71
56,38,26,2,1,65,71,57,48,41
0,0,0,0,0,42,74,63,47,34
11,0,0,0,0,48,43,41,41,41
55,21,40,0,0,85,77,72,76,74
15,14,15,1,0,64,62,57,27,50
45,24,33,1,0,88,61,87,86,61
33,15,17,2,1,73,53,61,47,82
51,8,13,2,1,61,64,73,51,90
16,0,0,1,1,42,58,69,62,52
31,22,15,1,1,78,64,48,49,78
45,2,7,2,0,51,82,68,60,55
29,13,14,0,0,79,67,83,83,86
39,34,17,2,1,85,82,45,98,52
27,13,16,1,1,48,82,69,46,70
10,0,0,0,0,32,39,59,40,34
0,0,0,0,0,67,53,21,59,64
49,49,11,2,1,80,76,93,43,57
47,20,40,1,1,82,73,51,80,88
20,14,3,0,0,64,71,64,58,68
69,32,37,1,1,84,52,79,61,51
26,0,13,1,0,59,81,69,66,73
72,45,26,2,1,87,87,74,100,71
41,6,34,1,1,58,76,78,53,88
23,0,6,2,1,68,69,63,55,62
29,24,18,1,1,72,66,46,61,67
0,0,0,0,0,31,50,39,35,32
63,29,31,2,1,78,89,93,81,86
16,11,0,1,1,52,83,52,68,52
28,10,13,2,0,47,40,51,64,65
31,24,21,1,1,64,34,62,71,63
0,0,0,0,0,60,60,50,43,31
46,12,36,1,1,68,51,64,53,55
0,0,0,1,1,34,36,67,69,50
28,6,28,1,0,70,80,64,70,63
37,28,26,1,0,53,89,55,52,63
12,0,0,0,0,69,71,49,47,34
60,48,19,5,1,79,75,62,97,80
54,54,32,3,0,98,83,69,86,98
0,0,0,0,0,53,53,32,33,47
4,0,4,2,1,64,81,60,75,55
42,42,34,2,1,61,71,56,71,63
61,46,20,2,1,82,84,84,91,86
12,8,0,1,0,64,39,63,45,81
27,21,7,5,1,63,60,73,59,66
77,29,57,3,1,100,92,84,91,82
20,9,0,0,0,49,72,57,40,58
43,3,13,2,0,68,46,63,56,78
40,17,1,2,1,52,62,78,79,64
43,7,10,3,1,55,69,66,40,45
32,0,0,1,0,63,58,70,63,41
40,21,37,0,0,62,71,73,69,41
53,50,5,0,0,76,94,41,78,85
58,1,27,1,1,67,70,75,88,60
78,75,57,2,1,98,66,63,78,89
40,8,21,1,1,71,80,82,74,84
63,47,32,3,0,83,92,46,76,39
41,0,0,2,0,51,59,68,43,48
45,0,7,2,0,59,32,45,46,49
17,0,0,2,1,46,59,64,72,50
10,2,0,3,1,76,70,63,66,51
37,16,10,1,0,64,40,57,48,67
19,4,0,1,0,45,48,83,41,42
16,0,0,0,0,54,53,51,32,55
42,5,18,3,1,62,80,47,51,74
39,8,15,3,1,53,75,31,71,66
31,0,8,0,0,65,74,50,61,47
4,4,4,0,0,54,59,49,44,48
29,5,3,1,1,69,63,91,56,65
7,7,0,0,0,69,61,52,61,66
51,30,20,1,1,63,83,89,64,71
24,10,0,4,1,38,28,55,33,57
53,28,42,2,1,49,71,54,65,74
28,18,16,2,0,64,81,76,49,61
16,0,0,0,0,63,78,54,47,64
7,0,0,0,0,79,56,82,55,66
34,18,29,0,0,67,87,54,44,46
20,3,12,2,1,46,64,53,47,58
54,32,7,0,0,54,65,52,38,63
14,0,0,0,0,59,69,64,38,77
1,0,0,1,1,37,61,57,52,59
34,24,34,1,1,68,86,81,49,61
52,12,22,2,1,76,67,36,67,58
12,0,0,2,1,41,84,48,51,33
0,0,0,1,1,49,68,75,56,42
53,36,33,1,1,70,90,85,59,88
0,0,0,0,0,37,62,53,33,44
14,14,14,1,0,61,44,69,99,62
15,9,0,0,0,52,67,64,65,64
61,23,32,2,0,76,43,50,69,65
24,4,0,0,0,69,78,59,67,54
0,0,0,1,1,55,53,58,51,51
25,2,14,1,1,73,59,75,83,52
51,35,26,1,0,75,71,68,65,77
44,10,23,1,1,53,67,42,77,83
51,32,29,1,0,74,100,60,76,66
44,29,0,1,1,63,88,50,53,72
69,35,28,2,0,59,78,73,73,59
35,35,17,1,0,63,84,61,83,57
39,20,39,4,1,72,80,76,67,77
35,0,17,1,0,42,78,68,68,47
13,13,0,1,1,47,80,71,93,56
52,29,32,0,0,62,43,86,43,72
26,0,17,1,0,73,52,56,42,53
12,0,2,2,0,72,66,67,82,50
30,30,10,1,0,55,67,44,66,70
25,0,3,0,0,32,53,43,48,24
0,0,0,3,1,68,65,46,64,66
49,30,22,3,1,74,61,55,71,82
17,3,17,0,0,55,69,50,51,60
26,22,22,2,0,61,58,81,70,58
63,58,35,0,0,87,100,86,75,84
10,10,0,0,0,46,63,48,23,72
24,24,24,0,0,77,57,88,65,75
22,16,0,1,1,56,57,58,52,69
53,22,33,5,1,71,57,77,49,69
2,0,0,1,1,56,57,47,35,44
48,4,0,2,1,62,72,46,91,73
19,0,12,1,1,69,66,60,68,56
44,34,0,1,0,56,50,58,73,41
7,0,0,0,0,36,29,52,30,58
71,32,11,1,1,53,54,92,79,78
0,0,0,2,1,54,43,41,38,52
37,30,23,1,0,70,48,41,64,62
31,9,31,1,1,75,66,40,33,66
58,25,3,1,1,49,65,85,48,47
48,25,33,1,0,70,60,37,67,66
54,52,46,1,1,77,77,75,100,57
65,51,36,3,0,72,83,64,79,71
0,0,0,2,1,64,53,52,62,42
40,24,35,2,1,73,90,100,83,94
48,34,17,0,0,57,72,61,93,89
32,30,10,0,0,65,75,63,27,72
32,22,7,1,1,48,72,42,57,77
0,0,0,0,0,49,53,25,51,68
55,18,10,2,1,43,67,39,49,73
66,48,52,1,0,65,59,73,64,74
89,51,51,3,1,91,81,78,69,84
40,28,39,3,1,89,82,56,51,81
1,1,1,2,0,60,69,73,59,51
40,28,23,3,1,56,74,84,62,72
52,7,30,3,1,72,71,61,62,76
24,17,24,0,0,84,71,74,58,67
31,31,8,3,0,69,87,70,55,58
50,24,38,2,1,36,69,58,66,68
32,4,25,2,1,86,77,42,66,85
0,0,0,1,0,41,79,36,61,64
0,0,0,0,0,44,62,63,43,76
29,16,16,1,1,55,65,77,75,85
22,0,2,2,1,67,78,64,50,66
74,61,56,1,0,87,89,78,93,89
0,0,0,1,0,34,46,53,30,36
28,4,25,3,1,53,41,48,83,66
41,38,28,3,1,76,65,81,68,76
38,0,4,1,1,27,47,51,28,28
11,0,3,0,0,62,92,63,48,52
36,26,30,4,1,89,80,63,61,67
56,32,28,5,1,86,71,78,62,72
27,2,5,0,0,51,63,55,58,68
18,15,18,0,0,72,59,40,42,66
0,0,0,1,1,29,47,19,37,24
5,0,0,1,0,38,41,52,38,38
34,28,1,2,0,68,66,77,59,84
20,10,0,3,1,48,80,72,51,67
12,12,9,0,0,96,61,61,55,66
0,0,0,3,0,61,64,64,60,59
27,9,0,0,0,60,64,54,71,50
42,4,39,1,0,60,80,53,71,56
4,0,0,2,0,33,60,30,31,36
44,38,12,1,0,78,60,61,65,59
82,57,48,2,1,81,80,76,79,84
28,11,0,0,0,46,44,55,68,34
39,39,27,1,1,75,77,73,78,74
15,15,15,0,0,64,78,63,56,62
4,0,0,1,0,60,64,40,71,53
26,2,24,4,1,58,61,53,45,59
7,5,7,2,1,56,51,34,70,63
48,27,45,2,1,98,74,95,67,72
38,8,17,0,0,51,30,55,53,72
29,19,23,2,1,59,73,64,52,64
63,51,29,1,1,98,60,82,79,81
23,4,15,1,1,66,62,52,77,58
58,19,20,2,1,69,92,94,73,48
26,14,16,0,0,44,90,56,85,60
86,34,39,0,0,66,60,52,96,59
0,0,0,1,1,65,35,47,68,66
0,0,0,0,0,37,47,35,47,29
71,54,41,2,0,81,53,82,87,72
9,0,0,1,0,51,53,58,47,69
84,43,33,0,0,60,64,68,89,59
59,54,50,0,0,57,74,68,63,52
0,0,0,1,1,44,55,45,59,38
49,22,27,0,0,62,92,64,71,52
20,11,5,1,1,70,70,68,44,60
46,20,29,4,1,76,89,84,62,58
43,1,30,2,0,72,89,33,47,69
32,32,32,4,1,97,80,44,62,87
14,3,3,2,1,73,68,79,56,73
41,37,6,0,0,55,70,67,63,66
40,0,10,1,1,63,83,74,89,81
29,6,1,1,0,63,62,70,44,82
1,1,1,3,0,56,66,49,51,54
63,33,44,1,0,84,97,74,56,90
24,18,15,0,0,61,75,49,64,57
43,23,31,0,0,62,54,48,67,60
32,9,29,1,0,86,67,74,67,87
60,28,11,2,1,55,66,66,67,47
89,63,44,3,1,81,89,71,83,75
8,0,0,2,1,52,25,40,48,53
33,19,17,2,1,59,92,68,67,54
21,0,8,1,0,43,59,45,56,45
21,0,5,0,0,67,66,88,64,56
0,0,0,0,0,44,62,51,53,59
41,16,20,1,0,57,52,80,77,71
84,68,37,4,1,91,92,100,95,96
54,35,40,3,1,80,71,74,69,83
20,0,11,2,1,43,58,71,64,44
66,30,31,5,1,79,78,77,93,43
0,0,0,1,0,52,55,69,36,46
40,10,21,1,0,56,35,68,54,52
18,0,15,2,1,59,72,48,46,59
23,0,23,0,0,72,57,55,61,39
26,7,13,5,0,31,61,27,72,45
65,34,37,2,1,68,52,73,63,54
16,14,0,1,1,64,83,62,50,24
77,51,33,3,1,91,67,58,70,70
48,21,32,2,0,77,76,78,65,74
2,2,2,1,1,64,57,72,48,70
26,0,0,0,0,46,81,67,78,61
28,0,12,0,0,69,65,55,51,58
23,0,0,1,0,56,55,70,46,65
0,0,0,0,0,44,56,38,21,49
70,32,53,1,1,61,86,73,52,74
27,21,24,1,1,72,76,89,50,54
43,25,10,3,0,62,52,77,69,44
8,0,0,1,0,41,51,44,44,47
77,47,16,3,1,73,50,68,53,67
46,37,25,3,0,86,75,61,77,51
62,32,56,0,0,87,98,100,93,89
71,37,21,1,1,69,78,44,45,52
0,0,0,1,0,20,59,49,16,32
7,2,0,1,1,55,65,53,65,56
18,7,0,1,1,51,66,85,54,70
21,0,11,0,0,32,63,38,38,50
24,0,16,1,1,59,46,68,50,71
61,34,36,1,0,81,77,70,79,73
49,3,29,0,0,79,51,49,79,78
13,13,2,0,0,69,100,38,70,60
28,8,18,0,0,64,58,57,63,59
15,0,1,3,1,45,41,62,48,71
57,24,23,3,1,77,68,65,75,66
106,78,55,0,0,100,79,64,88,97
44,35,9,2,1,75,83,83,68,61
19,19,19,0,0,72,73,54,68,70
3,0,0,2,1,72,44,57,62,53
43,19,15,0,0,48,57,51,42,79
0,0,0,1,1,53,52,42,44,62
50,39,23,1,1,74,77,51,47,71
58,40,37,1,0,77,60,81,73,71
0,0,0,0,0,41,52,42,62,51
24,11,11,0,0,73,77,65,61,48
30,30,30,0,0,74,84,81,75,99
55,31,49,2,1,86,62,73,76,50
38,38,24,0,0,80,83,71,73,81
0,0,0,3,1,40,34,44,36,43
12,1,0,1,0,47,56,66,37,39
0,0,0,1,1,54,60,42,54,45
15,15,0,1,0,60,66,44,77,66
11,0,6,1,0,40,79,38,62,56
29,5,11,0,0,56,68,59,64,70
19,0,10,2,0,55,45,45,59,61
15,0,10,1,1,64,67,61,66,51
19,7,19,2,1,92,66,100,61,57
42,16,18,3,1,76,38,72,75,57
15,15,15,0,0,61,75,65,75,91
8,0,8,2,0,65,53,82,50,61
0,0,0,0,0,38,31,42,17,47
0,0,0,2,0,39,60,62,77,48
53,17,11,2,0,63,71,65,56,64
24,7,0,1,0,71,57,62,72,56
52,28,16,3,1,69,81,85,80,84
51,26,43,2,1,85,74,46,78,77
51,29,25,1,1,90,77,60,60,55
78,62,43,2,1,80,86,76,76,69
40,33,15,2,1,66,87,78,57,66
14,0,11,0,0,46,63,61,38,68
0,0,0,0,0,28,60,53,36,22
35,13,23,1,1,73,67,62,73,74
0,0,0,2,1,43,15,43,40,16
8,0,3,0,0,59,67,48,31,60
27,0,13,1,0,32,64,63,48,63
35,0,33,1,0,64,65,68,67,45
80,59,51,1,1,73,100,92,91,69
27,16,0,0,0,50,42,58,43,46
0,0,0,0,0,23,44,30,25,48
24,24,0,1,0,64,61,59,63,59
0,0,0,1,0,27,62,60,57,41
55,17,38,2,1,63,77,63,57,75
14,0,0,1,1,45,37,48,44,53
84,46,36,2,1,63,63,40,72,76
2,0,0,0,0,47,47,51,60,39
20,11,10,0,0,76,61,55,46,68
0,0,0,0,0,37,51,54,37,48
31,3,18,1,1,91,100,63,51,47
47,25,33,2,1,80,70,90,87,75
36,31,20,1,1,56,73,73,75,64
0,0,0,1,1,44,39,57,63,32
0,0,0,0,0,56,63,54,66,68
7,0,0,1,0,63,53,61,44,58
9,0,0,1,1,50,63,64,63,44
40,28,20,4,0,70,78,85,81,77
29,20,18,1,1,79,70,50,52,76
39,24,13,1,1,92,54,65,78,51
0,0,0,2,1,50,52,59,52,52
53,53,29,5,1,72,85,65,86,63
35,21,14,3,1,60,70,69,65,66
19,3,19,1,1,67,60,82,43,75
0,0,0,0,0,36,36,33,14,26
55,26,32,0,0,42,54,64,66,87
34,15,8,1,0,54,79,33,43,51
0,0,0,0,0,45,69,68,54,48
61,31,14,3,1,84,73,70,93,69
72,23,16,3,1,53,64,78,67,68
59,59,42,1,0,73,72,61,65,63
12,0,0,1,1,34,48,49,47,27
11,0,0,3,1,52,62,48,68,35
43,24,19,1,1,58,66,66,53,51
0,0,0,0,0,49,60,74,31,49
2,0,0,0,0,55,65,51,38,51
0,0,0,1,0,45,50,63,25,33
45,27,16,2,0,56,80,66,52,55
0,0,0,0,0,48,28,32,34,49
16,0,3,1,0,58,54,59,54,50
16,8,0,3,1,61,62,67,56,82
49,20,49,1,1,100,67,66,100,81
12,0,12,2,1,44,36,59,35,51
9,0,0,3,1,71,50,66,66,31
56,18,48,2,1,79,78,76,64,77
0,0,0,0,0,41,47,43,34,43
14,14,14,0,0,63,44,66,29,46
38,7,15,2,1,78,71,42,65,61
82,66,47,2,0,94,65,86,76,77
87,58,38,2,1,67,71,78,94,83
69,57,41,1,0,76,74,72,67,51
27,22,4,0,0,50,40,54,57,61
10,10,0,0,0,54,52,57,55,63
31,27,27,1,1,86,80,47,58,54
1,0,0,0,0,55,77,45,46,56
0,0,0,0,0,56,65,69,36,38
25,0,0,1,1,29,37,18,39,41
10,0,0,3,1,62,59,63,73,57
49,13,17,0,0,60,49,49,49,31
0,0,0,1,0,59,97,53,48,62
46,37,12,2,0,73,67,79,59,74
9,6,0,1,1,55,38,46,47,41
52,19,14,2,1,68,88,65,63,68
57,20,31,1,1,76,97,76,86,65
23,8,3,3,1,70,68,64,68,66
10,0,0,0,0,58,49,25,34,41
8,0,0,3,0,59,55,76,61,55
20,0,20,3,1,63,48,61,64,58
39,24,2,3,1,61,74,72,49,61
12,11,8,0,0,62,57,55,56,60
0,0,0,0,0,39,35,33,38,39
34,34,18,1,1,66,77,87,87,62
33,33,29,1,1,85,80,87,97,64
17,0,0,1,0,33,75,62,69,49
25,12,0,1,1,67,56,29,61,64
0,0,0,0,0,32,65,35,61,33
33,0,14,1,1,66,64,56,67,56
10,2,10,3,1,52,38,53,35,42
27,11,18,1,0,59,52,50,53,65
47,37,3,2,0,54,93,72,58,57
27,27,21,0,0,71,54,51,53,60
27,0,0,2,1,52,54,68,43,59
18,6,5,3,1,48,46,50,68,45
44,14,0,1,0,55,54,37,56,61
6,0,0,0,0,53,77,49,23,57
0,0,0,0,0,29,47,19,29,24
13,0,0,0,0,44,54,75,47,45
40,3,20,0,0,55,83,55,30,69
6,0,0,1,1,40,50,76,40,52
13,0,0,2,1,62,57,42,68,45
33,21,15,1,0,58,69,66,49,62
20,10,20,1,0,64,84,69,46,70
66,41,28,1,1,78,70,76,66,80
40,14,0,2,1,63,62,41,75,58
0,0,0,0,0,34,36,53,26,26
51,19,6,2,0,64,59,75,60,80
51,45,24,2,1,78,90,57,63,77
0,0,0,0,0,69,56,66,61,51
72,28,26,1,0,76,88,80,76,77
40,24,26,1,0,61,72,66,78,66
0,0,0,1,1,76,73,67,47,60
28,19,16,4,0,46,69,57,51,76
45,15,22,5,0,79,87,78,80,60
0,0,0,0,0,40,53,38,27,23
19,0,0,1,1,51,33,55,63,48
69,33,50,1,0,96,92,99,99,100
0,0,0,0,0,39,52,48,50,40
77,62,47,3,1,97,61,94,100,65
0,0,0,1,1,31,57,46,28,16
11,0,11,0,0,55,58,63,46,56
55,17,35,0,0,83,100,65,67,77
4,0,0,3,0,60,53,56,56,56
18,3,4,2,1,62,59,43,59,49
51,1,16,2,1,37,68,53,59,65
27,0,26,0,0,60,53,60,69,76
49,20,14,3,1,59,80,72,70,61
29,6,26,1,1,74,77,79,62,81
36,33,14,3,1,63,59,78,44,65
8,0,0,0,0,55,63,68,66,54
9,9,0,1,1,67,66,53,58,62
29,9,0,1,1,41,32,58,44,47
0,0,0,1,0,48,54,54,50,59
0,0,0,0,0,51,66,60,32,67
37,37,30,3,1,64,92,50,78,78
0,0,0,1,0,38,46,52,53,65
27,0,0,0,0,52,46,46,46,36
25,3,13,3,1,67,66,65,73,51
49,24,34,1,1,59,67,78,84,93
27,21,0,1,0,32,65,44,62,61
21,0,0,1,1,56,59,55,70,59
12,0,0,1,0,51,59,52,46,44
1,1,0,1,1,46,49,60,69,42
0,0,0,2,0,51,62,56,47,14
0,0,0,1,1,70,57,50,63,77
25,9,0,0,0,44,60,69,74,69
15,0,7,0,0,53,55,45,38,47
15,0,0,1,0,56,55,37,47,40
56,24,18,4,1,67,100,32,57,51
42,41,29,1,1,67,54,76,63,60
8,8,8,2,0,76,58,63,54,71
25,2,19,2,1,53,71,50,57,48
8,2,0,3,0,65,85,41,66,50
0,0,0,0,0,24,29,49,28,54
13,13,13,0,0,52,52,46,31,39
0,0,0,3,1,60,45,62,47,64
12,0,0,0,0,32,56,40,50,46
0,0,0,2,0,53,65,58,10,70
24,0,7,1,1,52,49,60,62,46
0,0,0,0,0,26,32,16,44,39
63,36,25,1,1,59,86,78,55,78
30,0,0,1,0,51,48,59,29,67
54,30,33,1,0,76,92,34,63,74
0,0,0,0,0,50,58,52,50,52
55,51,11,1,1,69,70,52,57,83
46,14,27,1,1,59,50,68,61,50
0,0,0,2,1,58,57,76,60,60
37,37,5,0,0,70,59,64,86,73
54,27,30,1,0,46,64,73,75,73
65,49,63,0,0,86,84,81,90,86
42,32,38,0,0,94,100,83,100,76
57,23,25,2,0,70,74,76,54,57
59,39,23,0,0,68,83,59,44,53
55,28,15,1,1,57,51,60,73,55
63,33,43,2,1,100,83,100,100,93
1,0,0,1,1,61,49,63,58,80
47,47,26,2,1,68,95,74,71,72
55,28,39,2,1,91,80,81,78,78
0,0,0,0,0,40,48,51,39,45
22,22,6,1,0,80,68,65,68,57
23,0,23,2,0,59,58,83,55,44
0,0,0,2,1,29,22,35,24,13
19,1,7,1,0,38,41,34,59,45
17,3,1,2,1,53,72,65,47,49
24,20,21,3,0,62,70,66,86,64
58,47,34,1,1,62,62,42,78,71
23,7,0,5,1,55,51,80,66,32
26,25,4,1,1,66,79,56,68,65
51,7,18,1,1,57,55,51,55,55
52,26,41,1,1,88,66,77,75,76
68,47,42,3,1,81,71,67,57,42
25,12,5,0,0,51,50,37,58,54
39,0,0,1,1,64,81,73,73,81
29,0,0,1,1,32,42,33,46,33
35,31,10,2,1,56,64,63,72,80
40,23,40,1,0,72,60,55,58,48
40,31,14,0,0,62,61,66,88,75
0,0,0,0,0,45,62,69,62,51
0,0,0,0,0,47,71,65,53,78
81,50,28,3,1,64,83,63,57,61
50,35,13,2,1,81,69,54,41,54
85,41,69,2,1,59,85,76,81,85
51,14,0,0,0,68,41,58,69,46
0,0,0,1,1,56,84,56,52,73
55,44,37,1,0,68,82,88,77,91
17,1,0,1,1,48,59,63,58,41
11,9,0,1,1,50,45,56,50,42
35,0,0,1,1,55,71,56,64,61
14,0,0,0,0,49,69,88,44,54
27,27,0,0,0,55,58,59,72,61
40,19,13,1,1,72,68,66,57,63
31,18,31,0,0,86,73,91,60,76
30,8,0,1,0,66,70,55,61,60
15,2,0,0,0,37,43,40,51,39
0,0,0,0,0,50,70,58,51,40
50,47,8,2,0,60,60,72,63,67
38,19,0,1,1,59,65,85,57,50
18,13,18,0,0,53,51,60,66,59
13,6,0,1,1,64,41,70,79,44
23,3,13,2,1,61,73,52,69,63
0,0,0,0,0,36,76,47,61,49
0,0,0,2,0,68,100,84,81,53
40,9,27,2,0,66,59,48,34,21
4,0,4,2,1,59,66,55,59,81
0,0,0,0,0,56,56,83,72,65
21,0,0,0,0,25,21,33,28,33
36,6,19,2,1,69,59,61,62,68
46,2,13,1,1,51,67,63,57,45
0,0,0,0,0,18,53,51,54,45
45,32,3,2,1,83,94,70,54,44
29,18,24,2,1,70,75,66,68,73
14,0,4,3,1,64,58,49,50,51
19,0,9,0,0,66,50,73,47,59
10,0,0,1,1,40,48,55,38,55
7,0,2,1,1,45,62,56,32,43
96,47,48,5,1,79,64,55,91,63
33,24,31,0,0,64,63,78,75,83
87,30,43,1,1,84,73,94,71,97
21,12,0,0,0,47,68,56,43,55
54,28,12,1,0,51,58,82,38,72
19,9,19,3,0,63,58,52,76,66
53,31,26,2,0,75,68,81,68,58
10,6,1,0,0,58,66,61,60,47
13,0,1,0,0,40,40,53,44,44
12,0,6,0,0,49,57,50,65,55
0,0,0,0,0,47,63,66,43,48
11,6,3,1,1,48,74,68,65,69
27,27,11,0,0,98,86,49,64,92
45,28,18,1,0,68,60,67,88,65
51,19,25,2,1,84,70,73,82,61
0,0,0,3,0,51,62,78,58,47
10,5,0,1,1,54,58,72,54,43
14,0,0,0,0,40,44,54,30,39
14,0,0,0,0,62,47,46,50,58
56,35,56,0,0,74,86,77,100,69
14,4,0,0,0,55,51,43,51,54
65,37,45,2,1,61,81,60,79,75
30,12,8,0,0,78,55,75,45,79
25,21,18,0,0,54,73,53,36,52
20,0,20,1,1,43,76,35,57,50
34,0,3,1,0,64,100,42,69,77
32,8,23,0,0,57,55,73,55,42
28,0,20,2,1,74,71,57,74,74
18,0,18,3,0,38,63,50,57,25
67,41,52,4,1,63,67,61,64,70
0,0,0,1,0,27,39,52,23,25
27,14,13,0,0,60,74,68,62,70
52,34,14,2,1,77,44,89,64,71
28,2,0,0,0,42,63,29,60,41
24,14,0,1,0,51,57,39,49,73
85,75,48,2,1,82,68,62,97,86
39,9,4,0,0,84,73,52,50,64
16,0,0,2,1,69,56,57,50,50
0,0,0,1,0,49,57,35,60,47
24,19,1,3,1,66,72,70,78,80
31,10,1,1,1,62,62,52,46,56
